CLID	NAME	Fourier	Scaled Fourier	Sin	Cos	Atan2	Phase
AGI_HUM1_OLIGO_A_23_P122197	682392 ^ CCNB1 ^ Cyclin B1 ^ 891	20.78267655	19.53999719	-0.741352677	-0.671115645	-2.306508969	G2/M 
AGI_HUM1_OLIGO_A_23_P215976	684090 ^ CCNE2 ^ Cyclin E2 ^ 9134	22.7944457	19.03251876	0.246958793	0.969025982	0.249540577	G1/S 
AGI_HUM1_OLIGO_A_23_P49878	690594 ^ FLJ10156 ^ Hypothetical protein FLJ10156 ^ 54478	22.89901198	18.53182691	-0.464757753	-0.885437875	-2.658231652	G2/M 
AGI_HUM1_OLIGO_A_23_P375	686195 ^ CDCA8 ^ Cell division cycle associated 8 ^ 55143	21.02145097	18.13234683	-0.342894011	-0.939374098	-2.791596695	G2/M 
AGI_HUM1_OLIGO_A_23_P386241	773602 ^ C20orf55 ^ Chromosome 20 open reading frame 55 ^ 83541	22.40006699	18.10624294	-0.179183337	-0.9838157	-2.961436363	G2 
AGI_HUM1_OLIGO_A_23_P131866	685902 ^ STK6 ^ Serine/threonine kinase 6 ^ 6790	20.63500518	18.0103976	-0.508669748	-0.860961723	-2.607953647	G2/M 
AGI_HUM1_OLIGO_A_24_P356218	846498 ^ ARL6IP ^ ADP-ribosylation factor-like 6 interacting protein ^ 23204	22.94338851	17.82182767	-0.634224933	-0.773148585	-2.454587027	G2/M 
AGI_HUM1_OLIGO_A_23_P411335	773095 ^ SGOL2 ^ Shugoshin-like 2 (S. pombe) ^ 151246	20.78029182	17.446094	-0.538845958	-0.842404317	-2.572526084	G2/M 
AGI_HUM1_OLIGO_A_23_P52017	"695669 ^ ASPM ^ Asp (abnormal spindle)-like, microcephaly associated (Drosophila) ^ 259266"	21.9229903	17.35897448	-0.414759809	-0.909930932	-2.713913833	G2/M 
AGI_HUM1_OLIGO_A_23_P46539	682609 ^ DDA3 ^ Differential display and activated by p53 ^ 84722	21.4040647	17.17723281	-0.472784318	-0.881178182	-2.649144777	G2/M 
AGI_HUM1_OLIGO_A_23_P150935	681965 ^ TROAP ^ Trophinin associated protein (tastin) ^ 10024	22.9859891	17.16108662	-0.246926744	-0.96903415	-2.89208515	G2 
AGI_HUM1_OLIGO_A_24_P195454	854113 ^  ^  ^ 	20.1836265	16.91652306	-0.54212826	-0.840295751	-2.568624856	G2/M 
AGI_HUM1_OLIGO_A_23_P253524	"683395 ^ CENPE ^ Centromere protein E, 312kDa ^ 1062"	20.92260141	16.84189907	-0.3494643	-0.93694968	-2.78459336	G2 
AGI_HUM1_OLIGO_A_23_P124417	682711 ^ BUB1 ^ BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast) ^ 699	17.90626976	16.72576312	-0.590688113	-0.806899965	-2.509681293	G2/M 
AGI_HUM1_OLIGO_A_23_P214487	"867823 ^ HIST1H4C ^ Histone 1, H4c ^ 8364"	17.8176715	16.62657798	0.829768885	0.558107156	0.978693452	S 
AGI_HUM1_OLIGO_A_23_P408955	867740 ^ E2F2 ^ E2F transcription factor 2 ^ 1870	19.0008092	16.51776445	-0.008821851	0.999961087	-0.008821966	G1/S 
AGI_HUM1_OLIGO_A_23_P385861	773645 ^ CDCA2 ^ Cell division cycle associated 2 ^ 157313	19.88691309	15.81445114	-0.133681989	-0.991024281	-3.007509259	G2 
AGI_HUM1_OLIGO_A_23_P118174	688877 ^ PLK1 ^ Polo-like kinase 1 (Drosophila) ^ 5347	19.27313412	15.74582294	-0.647137721	-0.762373118	-2.437768661	G2/M 
AGI_HUM1_OLIGO_A_23_P70480	"694504 ^ HIST1H4L ^ Histone 1, H4l ^ 8368"	16.98843838	15.60739726	0.870180879	0.49273242	1.055569296	S 
AGI_HUM1_OLIGO_A_23_P70448	"851153 ^ HIST1H1A ^ Histone 1, H1a ^ 3024"	19.30280157	15.39836598	0.675449151	0.737406566	0.741573628	S 
AGI_HUM1_OLIGO_A_23_P35219	695375 ^ NEK2 ^ NIMA (never in mitosis gene a)-related kinase 2 ^ 4751	18.77457339	15.39152669	-0.602231186	-0.798321739	-2.495299636	G2/M 
AGI_HUM1_OLIGO_A_23_P136805	696795 ^ ARHGAP11A ^ Rho GTPase activating protein 11A ^ 9824	17.2608628	15.15372571	-0.36120622	-0.93248596	-2.77203153	G2 
AGI_HUM1_OLIGO_A_24_P123616	867319 ^ HSPA1A ^ Heat shock 70kDa protein 1A ^ 3303	24.6786708	15.13276351	-0.65818947	-0.752852324	-2.423181323	G2 
AGI_HUM1_OLIGO_A_23_P118834	690278 ^ TOP2A ^ Topoisomerase (DNA) II alpha 170kDa ^ 7153	16.75874845	15.0990458	-0.043252458	-0.999064175	-3.098326699	G2 
AGI_HUM1_OLIGO_A_24_P166407	"861073 ^ HIST1H4B ^ Histone 1, H4b ^ 8366"	16.47188807	15.06420052	0.828754518	0.55961232	0.976878386	S 
AGI_HUM1_OLIGO_A_23_P125265	"689153 ^ KPNA2 ^ Karyopherin alpha 2 (RAG cohort 1, importin alpha 1) ^ 3838"	17.10775597	14.97340944	-0.571427621	-0.820652468	-2.533348232	G2/M 
AGI_HUM1_OLIGO_A_23_P17444	693980 ^ C20orf55 ^ Chromosome 20 open reading frame 55 ^ 83541	19.78865364	14.9556114	-0.198195553	-0.980162498	-2.942076044	G2 
AGI_HUM1_OLIGO_A_23_P30294	"684371 ^ CDO1 ^ Cysteine dioxygenase, type I ^ 1036"	19.27196982	14.80742529	-0.159421413	-0.987210622	-2.981488111	G2 
AGI_HUM1_OLIGO_A_23_P323743	775297 ^ C15orf20 ^ Chromosome 15 open reading frame 20 ^ 80119	21.19270652	14.61822033	-0.243563206	-0.969885027	-2.895554644	G2 
AGI_HUM1_OLIGO_A_32_P219135	842504 ^  ^  ^ 	18.60984726	14.5183979	0.819706436	0.572783868	0.960898308	S 
AGI_HUM1_OLIGO_A_24_P67494	844100 ^  ^  ^ 	16.40391554	14.48447698	-0.530398621	-0.847748372	-2.582521946	G2/M 
AGI_HUM1_OLIGO_A_23_P140705	681265 ^ C15orf23 ^ Chromosome 15 open reading frame 23 ^ 90417	18.48971698	14.45588939	-0.46678594	-0.884370333	-2.655939668	G2/M 
AGI_HUM1_OLIGO_A_23_P387630	774039 ^ STARD8 ^ START domain containing 8 ^ 9754	17.915371	14.40469282	-0.570371041	-0.821387165	-2.534635144	G2/M 
AGI_HUM1_OLIGO_A_23_P88331	"681880 ^ DLG7 ^ Discs, large homolog 7 (Drosophila) ^ 9787"	16.76991018	14.29857882	-0.632358245	-0.774676094	-2.456999041	G2/M 
AGI_HUM1_OLIGO_A_32_P140262	849311 ^  ^  ^ 	16.32353288	14.23142729	-0.498880929	-0.866670536	-2.619285588	G2/M 
AGI_HUM1_OLIGO_A_32_P152696	867393 ^  ^  ^ 	18.13549656	14.16407671	-0.91962001	-0.392809161	-1.974480632	G2/M 
AGI_HUM1_OLIGO_A_24_P791829	855515 ^  ^  ^ 	19.3335472	14.11909619	-0.66327635	-0.748374561	-2.416404385	G2/M 
AGI_HUM1_OLIGO_A_23_P259586	691976 ^ TTK ^ TTK protein kinase ^ 7272	16.31198202	13.71057975	-0.301044076	-0.953610227	-2.835805322	G2 
AGI_HUM1_OLIGO_A_23_P395374	"843833 ^ HIST1H4D ^ Histone 1, H4d ^ 8360"	14.84639429	13.49473401	0.782245319	0.622970514	0.89826192	S 
AGI_HUM1_OLIGO_A_23_P48835	696967 ^ KIF23 ^ Kinesin family member 23 ^ 9493	17.43767812	13.47819174	-0.106500713	-0.994312626	-3.034889577	G2 
AGI_HUM1_OLIGO_A_24_P50328	866361 ^  ^  ^ 	17.76208871	13.39389375	-0.440908905	-0.897551858	-2.684981582	G2/M 
AGI_HUM1_OLIGO_A_23_P63402	"690902 ^ GPSM2 ^ G-protein signalling modulator 2 (AGS3-like, C. elegans) ^ 29899"	15.56338071	13.38069439	-0.605400927	-0.795920673	-2.491323155	G2/M 
AGI_HUM1_OLIGO_A_23_P70249	693955 ^ CDC25C ^ Cell division cycle 25C ^ 995	16.96658504	13.3737919	-0.31358751	-0.949559305	-2.822623888	G2/M 
AGI_HUM1_OLIGO_A_24_P682285	858369 ^ HSPA1A ^ Heat shock 70kDa protein 1A ^ 3303	24.34287312	13.32504532	-0.732624609	-0.680632928	-2.319422533	G2 
AGI_HUM1_OLIGO_A_23_P206901	690898 ^ NDE1 ^ NudE nuclear distribution gene E homolog 1 (A. nidulans) ^ 54820	19.3503602	13.16286967	-0.333346303	-0.942804456	-2.801741988	G2/M 
AGI_HUM1_OLIGO_A_23_P149200	859639 ^ CDC20 ^ CDC20 cell division cycle 20 homolog (S. cerevisiae) ^ 991	16.91581112	13.15070679	-0.813176179	-0.582017614	-2.192003973	G2/M 
AGI_HUM1_OLIGO_A_23_P115872	693938 ^ C10orf3 ^ Chromosome 10 open reading frame 3 ^ 55165	16.07608803	13.1072847	-0.570824911	-0.821071813	-2.534082473	G2/M 
AGI_HUM1_OLIGO_A_24_P413884	"850450 ^ CENPA ^ Centromere protein A, 17kDa ^ 1058"	18.58920464	13.08873334	-0.133782889	-0.991010665	-3.007407444	G2 
AGI_HUM1_OLIGO_A_24_P879895	"848282 ^ DLGAP1 ^ Discs, large (Drosophila) homolog-associated protein 1 ^ 9229"	18.32783812	12.99331923	0.860465031	0.509509499	1.036181674	S 
AGI_HUM1_OLIGO_A_24_P100517	852219 ^ C9orf140 ^ Chromosome 9 open reading frame 140 ^ 89958	17.70292536	12.91129225	-0.929492148	-0.368841898	-1.948559088	G2/M 
AGI_HUM1_OLIGO_A_23_P353717	773797 ^ MGC24665 ^ Hypothetical protein MGC24665 ^ 116028	17.00635836	12.90406759	0.66874747	0.743489625	0.732522844	G1/S 
AGI_HUM1_OLIGO_A_23_P99604	695156 ^ KIAA1333 ^ KIAA1333 ^ 55632	16.77883271	12.77350722	-0.480634987	-0.876920754	-2.640213974	G2/M 
AGI_HUM1_OLIGO_A_23_P401	"691312 ^ CENPF ^ Centromere protein F, 350/400ka (mitosin) ^ 1063"	16.95520904	12.72205287	-0.442787764	-0.896626453	-2.682887188	G2/M 
AGI_HUM1_OLIGO_A_23_P71727	691352 ^ CKS2 ^ CDC28 protein kinase regulatory subunit 2 ^ 1164	17.30307664	12.6388766	-0.529519031	-0.848298058	-2.583559169	G2/M 
AGI_HUM1_OLIGO_A_23_P34788	691657 ^ KIF2C ^ Kinesin family member 2C ^ 11004	15.75568028	12.60824681	-0.313436204	-0.94960926	-2.822783226	G2/M 
AGI_HUM1_OLIGO_A_24_P297539	844920 ^ UBE2C ^ Ubiquitin-conjugating enzyme E2C ^ 11065	17.93914663	12.57385284	-0.09845525	-0.995141479	-3.042977644	G2 
AGI_HUM1_OLIGO_A_24_P773539	853960 ^  ^  ^ 	18.68658879	12.54867971	0.412226403	0.911081441	0.424896407	G1/S 
AGI_HUM1_OLIGO_A_23_P74349	693999 ^ CDCA1 ^ Cell division cycle associated 1 ^ 83540	16.14827928	12.52720528	-0.358351466	-0.933586754	-2.775091167	G2 
AGI_HUM1_OLIGO_A_24_P178631	860252 ^  ^  ^ 	14.87047895	12.0872755	-0.071064558	0.997471718	-0.071124509	G1/S 
AGI_HUM1_OLIGO_A_24_P916195	869257 ^ GTSE1 ^ G-2 and S-phase expressed 1 ^ 51512	15.45193683	12.07405072	-0.460263435	-0.887782389	-2.663300744	G2/M 
AGI_HUM1_OLIGO_A_23_P259071	696877 ^ AREG ^ Amphiregulin (schwannoma-derived growth factor) ^ 374	17.59324653	11.97077921	0.963450231	0.267887387	1.299596724	S 
AGI_HUM1_OLIGO_A_23_P151405	690839 ^ CKAP2 ^ Cytoskeleton associated protein 2 ^ 26586	17.22987283	11.93396128	-0.334100705	-0.942537383	-2.800941706	G2 
AGI_HUM1_OLIGO_A_23_P65757	694924 ^ CCNB2 ^ Cyclin B2 ^ 9133	13.95562974	11.89937934	-0.769541455	-0.63859686	-2.263469864	G2/M 
AGI_HUM1_OLIGO_A_24_P84711	848918 ^  ^  ^ 	14.04004094	11.87322738	-0.761381952	-0.648303574	-2.276150556	G2/M 
AGI_HUM1_OLIGO_A_23_P138507	"694849 ^ CDC2 ^ Cell division cycle 2, G1 to S and G2 to M ^ 983"	14.86951177	11.82450341	0.34381763	-0.939036441	2.79061329	G2 
AGI_HUM1_OLIGO_A_23_P65041	869142 ^ FKSG42 ^ FKSG42 ^ 83956	14.83828464	11.82215104	-0.483126939	-0.875550319	-2.637370048	G2/M 
AGI_HUM1_OLIGO_A_23_P89509	686120 ^ SPAG5 ^ Sperm associated antigen 5 ^ 10615	14.21231492	11.81859157	-0.535204818	-0.844722323	-2.576842458	G2/M 
AGI_HUM1_OLIGO_A_24_P25872	844948 ^ DEPDC1 ^ DEP domain containing 1 ^ 55635	15.55023855	11.81079494	-0.362733819	-0.931892792	-2.770392809	G2 
AGI_HUM1_OLIGO_A_23_P200310	683382 ^ DEPDC1 ^ DEP domain containing 1 ^ 55635	16.85262856	11.77744262	-0.545618937	-0.838033398	-2.564465158	G2/M 
AGI_HUM1_OLIGO_A_23_P321354	864516 ^ FLJ33069 ^ Hypothetical protein FLJ33069 ^ 137835	17.29250021	11.71661998	-0.89864087	-0.438685066	-2.024931229	G2/M 
AGI_HUM1_OLIGO_A_24_P319613	851539 ^ NEK2 ^ NIMA (never in mitosis gene a)-related kinase 2 ^ 4751	15.80517443	11.68457579	-0.60602733	-0.795443823	-2.490535902	G2/M 
AGI_HUM1_OLIGO_A_24_P273132	"854135 ^ GPSM2 ^ G-protein signalling modulator 2 (AGS3-like, C. elegans) ^ 29899"	15.30972193	11.54198405	-0.517433811	-0.855723233	-2.597743286	G2/M 
AGI_HUM1_OLIGO_A_23_P150667	697080 ^ KIF18A ^ Kinesin family member 18A ^ 81930	15.64860636	11.5418174	-0.246551155	-0.969129779	-2.892472722	G2 
AGI_HUM1_OLIGO_A_24_P911179	"863437 ^ ASPM ^ Asp (abnormal spindle)-like, microcephaly associated (Drosophila) ^ 259266"	18.07751136	11.36337902	-0.387093395	-0.922040511	-2.744115517	G2/M 
AGI_HUM1_OLIGO_A_23_P20443	"854309 ^ LZTS1 ^ Leucine zipper, putative tumor suppressor 1 ^ 11178"	14.19834672	11.21048923	0.190420074	0.981702702	0.191590032	G1/S 
AGI_HUM1_OLIGO_A_32_P57013	866568 ^ BCL11A ^ B-cell CLL/lymphoma 11A (zinc finger protein) ^ 53335	15.56072295	11.18596574	-0.025493965	0.999674976	-0.025496728	G1/S 
AGI_HUM1_OLIGO_A_32_P72341	847446 ^ TRIM59 ^ Tripartite motif-containing 59 ^ 286827	15.55020241	11.16464103	-0.318608681	-0.947886337	-2.817331341	G2 
AGI_HUM1_OLIGO_A_32_P198731	867723 ^ DKFZP761M1511 ^ Hypothetical protein DKFZP761M1511 ^ 54492	16.21420223	10.98090632	-0.210497009	-0.977594501	-2.929509322	G2 
AGI_HUM1_OLIGO_A_23_P388146	773548 ^ ZNF587 ^ Zinc finger protein 587 ^ 84914	15.49586129	10.84854402	-0.05128781	-0.998683914	-3.090282332	G2/M 
AGI_HUM1_OLIGO_A_24_P306896	862383 ^  ^  ^ 	15.30069013	10.84003403	-0.108520132	-0.994094252	-3.032858385	G2/M 
AGI_HUM1_OLIGO_A_24_P346855	857727 ^ MKI67 ^ Antigen identified by monoclonal antibody Ki-67 ^ 4288	13.99782538	10.83259511	-0.501019525	-0.86543598	-2.616816231	G2/M 
AGI_HUM1_OLIGO_A_23_P361419	774403 ^ DEPDC1B ^ DEP domain containing 1B ^ 55789	13.55740188	10.83141508	-0.488451454	-0.872591071	-2.631278436	G2/M 
AGI_HUM1_OLIGO_A_24_P296254	850808 ^ ARHGAP11A ^ Rho GTPase activating protein 11A ^ 9824	14.20899148	10.71970365	-0.267864217	-0.963456673	-2.8704171	G2 
AGI_HUM1_OLIGO_A_23_P68610	"696201 ^ TPX2 ^ TPX2, microtubule-associated protein homolog (Xenopus laevis) ^ 22974"	12.59993396	10.69297176	-0.531939465	-0.846782384	-2.580703338	G2/M 
AGI_HUM1_OLIGO_A_23_P162476	856363 ^ CDCA3 ^ Cell division cycle associated 3 ^ 83461	15.00767339	10.67958044	-0.366693683	-0.930341734	-2.766140006	G2/M 
AGI_HUM1_OLIGO_A_24_P925586	851160 ^ MTVR1 ^ Mouse Mammary Turmor Virus Receptor homolog 1 ^ 23625	15.14854265	10.65662104	0.631183331	0.775633678	0.683077898	G1/S 
AGI_HUM1_OLIGO_A_32_P52227	865627 ^  ^  ^ 	18.64175613	10.63534557	0.591320871	0.806436375	0.632695771	G1/S 
AGI_HUM1_OLIGO_A_32_P13728	851881 ^ HSPA8 ^ Heat shock 70kDa protein 8 ^ 3312	14.91799583	10.60872388	-0.80292241	-0.596083554	-2.209410814	G2/M 
AGI_HUM1_OLIGO_A_23_P95930	861955 ^ HMGA2 ^ High mobility group AT-hook 2 ^ 8091	15.44247179	10.57494291	-0.380094662	-0.924947592	-2.751694016	G2 
AGI_HUM1_OLIGO_A_24_P408603	"861954 ^ RAB39B ^ RAB39B, member RAS oncogene family ^ 116442"	17.32072839	10.52831815	0.727378279	0.686236723	0.814493742	S 
AGI_HUM1_OLIGO_A_23_P349566	864088 ^  ^  ^ 	17.89702226	10.50735967	0.589414757	0.807830579	0.630334187	G1/S 
AGI_HUM1_OLIGO_A_23_P44684	862155 ^ ECT2 ^ Epithelial cell transforming sequence 2 oncogene ^ 1894	12.93467108	10.49665373	-0.204701776	-0.978824388	-2.935433632	G2 
AGI_HUM1_OLIGO_A_23_P57588	695915 ^ GTSE1 ^ G-2 and S-phase expressed 1 ^ 51512	15.04880463	10.48841487	-0.453236961	-0.89139007	-2.67119929	G2/M 
AGI_HUM1_OLIGO_A_23_P50108	694720 ^ KNTC2 ^ Kinetochore associated 2 ^ 10403	14.61934913	10.41100867	-0.27681361	-0.960923631	-2.861116102	G2 
AGI_HUM1_OLIGO_A_23_P121480	689219 ^ CD200 ^ CD200 antigen ^ 4345	16.26570531	10.372868	0.386775771	0.922173792	0.397132682	G1/S 
AGI_HUM1_OLIGO_A_32_P151800	844678 ^ MGC57827 ^ Similar to RIKEN cDNA 2700049P18 gene ^ 389835	13.60311334	10.32447736	-0.170209885	-0.985407832	-2.970549996	G2 
AGI_HUM1_OLIGO_A_23_P127522	682080 ^ FLJ32915 ^ Hypothetical protein FLJ32915 ^ 219844	12.08717249	10.30577709	-0.071599362	-0.997433472	-3.069931975	G2 
AGI_HUM1_OLIGO_A_23_P9574	854777 ^ ECT2 ^ Epithelial cell transforming sequence 2 oncogene ^ 1894	13.29285445	10.07854919	-0.347159591	-0.937806066	-2.787052035	G2 
AGI_HUM1_OLIGO_A_23_P375165	864702 ^ FLJ35767 ^ FLJ35767 protein ^ 400629	15.96754809	10.02849842	0.439210035	0.898384408	0.454719167	G1/S 
AGI_HUM1_OLIGO_A_23_P382775	771605 ^ BBC3 ^ BCL2 binding component 3 ^ 27113	14.49455672	10.00775219	0.65980285	0.751438753	0.720556367	G1/S 
AGI_HUM1_OLIGO_A_32_P181452	850709 ^  ^ Hypothetical LOC400134 ^ 400134	13.69168774	9.946107494	0.753650869	0.657274956	0.853599085	S 
AGI_HUM1_OLIGO_A_24_P398585	848995 ^ UNG ^ Uracil-DNA glycosylase ^ 7374	13.6369514	9.894426461	0.014314431	0.999897543	0.014314919	G1/S 
AGI_HUM1_OLIGO_A_23_P49972	693742 ^ CDC6 ^ CDC6 cell division cycle 6 homolog (S. cerevisiae) ^ 990	11.20369631	9.883934497	0.386815741	0.922157027	0.397176026	G1/S 
AGI_HUM1_OLIGO_A_23_P209200	685647 ^ CCNE1 ^ Cyclin E1 ^ 898	13.04056941	9.859100811	0.047188855	0.998885985	0.047206386	G1/S 
AGI_HUM1_OLIGO_A_23_P70007	695765 ^ HMMR ^ Hyaluronan-mediated motility receptor (RHAMM) ^ 3161	15.61198337	9.850505802	-0.489461329	-0.872025004	-2.630120732	G2 
AGI_HUM1_OLIGO_A_23_P152753	865004 ^ DRF1 ^ Dbf4-related factor 1 ^ 80174	12.9326914	9.831651858	-0.622328444	-0.782756225	-2.469878783	G2/M 
AGI_HUM1_OLIGO_A_32_P176550	843949 ^ JMY ^ Junction-mediating and regulatory protein ^ 133746	15.71658985	9.818593745	0.382228561	0.924067815	0.392206783	G1/S 
AGI_HUM1_OLIGO_A_24_P161655	843893 ^  ^  ^ 	13.58527661	9.80680363	-0.79183813	-0.610731018	-2.22777978	G2/M 
AGI_HUM1_OLIGO_A_24_P191357	856240 ^  ^  ^ 	13.40882125	9.786709775	-0.521702359	-0.853127569	-2.592747485	G2/M 
AGI_HUM1_OLIGO_A_32_P30760	"868594 ^ PRKAA1 ^ Protein kinase, AMP-activated, alpha 1 catalytic subunit ^ 5562"	13.79143668	9.78470712	0.204335371	0.978900943	0.205784705	G1/S 
AGI_HUM1_OLIGO_A_23_P24594	856578 ^ HSPA8 ^ Heat shock 70kDa protein 8 ^ 3312	15.00780436	9.776263852	-0.875792418	-0.482687933	-2.074517596	G2/M 
AGI_HUM1_OLIGO_A_24_P887768	849996 ^  ^  ^ 	13.23328657	9.721648713	-0.775360096	-0.631519376	-2.254307553	M/G1 
AGI_HUM1_OLIGO_A_23_P58321	691241 ^ CCNA2 ^ Cyclin A2 ^ 890	12.0098263	9.672942289	-0.358221992	-0.933636441	-2.775229848	G2/M 
AGI_HUM1_OLIGO_A_23_P254612	686686 ^ ASK ^ Activator of S phase kinase ^ 10926	12.21418559	9.654629714	-0.22821699	-0.973610294	-2.911346704	G2 
AGI_HUM1_OLIGO_A_32_P104432	"855666 ^  ^ CDNA FLJ41308 fis, clone BRAMY2042612 ^ "	15.41816414	9.639713744	0.545711289	0.837973263	0.577237701	G1/S 
AGI_HUM1_OLIGO_A_23_P206059	685404 ^ PRC1 ^ Protein regulator of cytokinesis 1 ^ 9055	11.45792588	9.625677492	-0.504460612	-0.863434706	-2.612835503	G2/M 
AGI_HUM1_OLIGO_A_32_P107833	850473 ^  ^  ^ 	12.91621226	9.538183599	0.164485385	0.98637952	0.165236268	G1/S 
AGI_HUM1_OLIGO_A_32_P195137	869896 ^ RAD21 ^ RAD21 homolog (S. pombe) ^ 5885	12.05399468	9.533516443	-0.246644287	-0.969106081	-2.892376621	M/G1 
AGI_HUM1_OLIGO_A_32_P103776	849594 ^  ^  ^ 	15.63179316	9.530626131	0.768905404	0.639362558	0.877127373	S 
AGI_HUM1_OLIGO_A_32_P103633	"844145 ^ MCM2 ^ MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae) ^ 4171"	12.84216511	9.480946708	0.275719821	0.961238045	0.27933847	G1/S 
AGI_HUM1_OLIGO_A_23_P61180	"686574 ^ PLCXD1 ^ Phosphatidylinositol-specific phospholipase C, X domain containing 1 ^ 55344"	14.45184152	9.461649544	-0.151156949	0.988509776	-0.151738565	G1/S 
AGI_HUM1_OLIGO_A_23_P129075	691401 ^ FLJ12973 ^ Hypothetical protein FLJ12973 ^ 79968	12.16448351	9.38019137	0.268698291	0.963224391	0.272041369	G1/S 
AGI_HUM1_OLIGO_A_23_P37954	682731 ^ CCNF ^ Cyclin F ^ 899	13.32293118	9.37574636	-0.222422185	-0.974950446	-2.917294466	G2 
AGI_HUM1_OLIGO_A_23_P163481	696900 ^ BUB1B ^ BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast) ^ 701	12.56872844	9.367297343	-0.433356165	-0.901222744	-2.693379184	G2/M 
AGI_HUM1_OLIGO_A_23_P396858	847398 ^ FZD8 ^ Frizzled homolog 8 (Drosophila) ^ 8325	15.94073444	9.334049227	-0.062823386	0.99802466	-0.062864785	G1/S 
AGI_HUM1_OLIGO_A_23_P33791	692747 ^ SSBP2 ^ Single-stranded DNA binding protein 2 ^ 23635	15.16017465	9.331997107	0.769534187	0.638605618	0.878111409	G1/S 
AGI_HUM1_OLIGO_A_32_P145968	852011 ^ FLJ38973 ^ Hypothetical protein FLJ38973 ^ 205327	14.02659804	9.311122284	-0.392323811	-0.919827173	-2.738436062	M/G1 
AGI_HUM1_OLIGO_A_23_P398637	773232 ^ RG9MTD2 ^ RNA (guanine-9-) methyltransferase domain containing 2 ^ 93587	12.65347585	9.304948576	-0.654829213	-0.755776886	-2.427636031	G2/M 
AGI_HUM1_OLIGO_A_23_P415411	"867780 ^ HIST1H4E ^ Histone 1, H4e ^ 8367"	14.48102543	9.304942179	0.786829136	0.617170893	0.905654296	S 
AGI_HUM1_OLIGO_A_24_P621434	844961 ^  ^  ^ 	13.9798139	9.303314512	-0.822834309	-0.568281356	-2.175211984	G2/M 
AGI_HUM1_OLIGO_A_32_P115518	846708 ^ MAF ^ V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian) ^ 4094	18.20499852	9.269384481	0.534733334	0.845020865	0.564192142	S 
AGI_HUM1_OLIGO_A_24_P287129	1099039 ^ HSPA8 ^ Heat shock 70kDa protein 8 ^ 3312	14.39261497	9.265231494	-0.868863027	-0.495052562	-2.088691653	G2/M 
AGI_HUM1_OLIGO_A_32_P144852	843073 ^  ^ Full-length cDNA clone CS0DC025YP03 of Neuroblastoma Cot 25-normalized of Homo sapiens (human) ^ 	12.96758266	9.247688933	-0.112573985	0.993643345	-0.112813124	G1/S 
AGI_HUM1_OLIGO_A_23_P57306	"682830 ^ CHAF1B ^ Chromatin assembly factor 1, subunit B (p60) ^ 8208"	10.50075082	9.196683574	0.445172718	0.895444722	0.461367137	G1/S 
AGI_HUM1_OLIGO_A_24_P23546	849901 ^ SP8 ^ Sp8 transcription factor ^ 221833	16.43719012	9.146540194	0.476175633	0.879350195	0.496300483	G1/S 
