Gene Symbol	RefSeq ID	p-value_columnar_vs_junction	Fold-Change_columnar_vs_junction	p-value_columnar_vs_squamous	Fold-Change_columnar_vs_squamous	p-value_junction_vs_squamous	Fold-Change_junction_vs_squamous
CAMK2N1	NM_018584	0,00325007	-2,24171	0,430451	1,15542	0,00142291	2,59011
CLIC4	NM_013943	0,00106246	-4,2323	0,0395667	-1,89996	0,0170379	2,22757
MMP7	NM_002423	0,00628607	-2,78447	0,239476	1,38449	0,00163934	3,85507
HLA-DRB5	NM_002125	0,0363191	-2,20859	0,0308063	2,29112	0,00152445	5,06016
PLA2G10	NM_003561	0,0254905	-3,91242	0,0649728	2,83367	0,00199749	11,0865
RPS27L	NM_015920	0,00229419	-4,58603	0,0998346	-1,79392	0,0205095	2,55644
SPP1	NM_001040058	0,00633605	-3,84733	0,602356	1,19784	0,00349381	4,6085
IFIT2	NM_001547	0,00926956	-2,36274	0,617538	1,12748	0,00510345	2,66393
PPM2C	NM_018444	0,0114335	-2,31654	0,47997	1,19237	0,00483276	2,76218
IL8	NM_000584	0,0371079	-3,59663	0,100616	2,53453	0,00366458	9,11578
S100P	NM_005980	0,00517255	-2,35156	0,536377	-1,13975	0,0109628	2,06323
GLYATL2	NM_145016	0,0223606	-2,53481	0,202541	1,54569	0,00416701	3,91803
EPS8	NM_004447	0,0107134	-2,02378	0,655483	1,09487	0,00622563	2,21578
TCN1	NM_001062	0,0481248	-3,00101	0,174066	1,98289	0,00698374	5,95067
FLJ26056	AK129567	0,109716	-2,03237	0,0752556	2,25266	0,00692051	4,57824
PRKAR2B	NM_002736	0,0471611	-2,01782	0,530914	1,20613	0,0196952	2,43376
DPH3	NM_206831	0,0323344	-2,3738	0,891254	1,04548	0,0268162	2,48177
IGFBP3	NM_001013398	0,096521	-2,20683	0,26337	1,64233	0,0185381	3,62436
IL6	NM_000600	0,0445162	-3,58568	0,699903	1,2262	0,0260433	4,39675
SPAG11B	NM_016512	0,161154	-2,25001	0,21727	2,01273	0,0247509	4,52866
C9	NM_001737	0,0397733	-2,17525	0,836287	-1,0662	0,053246	2,04019
OCLM	NM_022375	0,0374441	-2,61074	0,653858	-1,18536	0,0710772	2,2025
RPL41	NM_001035267	0,0540181	-2,07807	0,92746	1,02948	0,0474799	2,13933
KCTD14	NM_023930	0,0423702	-2,45671	0,705369	-1,14883	0,0727842	2,13844
SLC6A14	NM_007231	0,0500533	-3,4473	0,834615	-1,11664	0,0674444	3,08721
HIST1H3A	NM_003529	0,0686031	-2,39703	0,888264	-1,05954	0,0839901	2,26233
OR4P4	NM_001004124	0,0675055	-2,43755	0,692671	-1,18051	0,11985	2,06482
LLPH	NM_032338	0,126307	-2,18593	0,76657	1,14671	0,0821285	2,50663
ANKRD36B	NM_025190	0,187334	-2,01563	0,503002	1,39873	0,0700761	2,81933
ANKRD36B	NM_025190	0,370134	-2,3442	0,270258	2,90955	0,0717713	6,82057
SLC45A4	NM_001080431	0,272144	-2,00371	0,377093	1,73015	0,0738098	3,46673
CD63	NM_001780	0,0935564	-2,65042	0,787802	-1,14773	0,138166	2,30928
BICD1	NM_001714	0,13132	-3,07337	0,848323	1,13697	0,0995806	3,49434
GLRX	NM_002064	0,133992	-2,40128	0,842708	1,11049	0,10056	2,66659
LOC388152	BC054509	0,0906623	-9,64072	0,471804	-2,37206	0,259127	4,06428
STEAP1	NM_012449	0,137147	-2,17629	0,998312	-1,001	0,137565	2,17412
IFI44L	NM_006820	0,209539	-2,26699	0,648825	1,32185	0,108491	2,99663
FLJ46210	NM_001134657	0,213223	-2,01921	0,654141	1,26847	0,111669	2,5613
CXorf52	AY168775	0,115197	-4,44136	0,637534	-1,49431	0,227195	2,97217
PMS2CL	NR_002217	0,194885	-2,55197	0,759664	1,22831	0,125537	3,1346
HGF	NM_000601	0,1452	-2,70913	0,773855	-1,19602	0,218808	2,26513
UNC119B	NM_001080533	0,350321	-2,21787	0,567033	1,61009	0,156765	3,57098
NXF2	NM_017809	0,263913	-2,19902	0,953091	-1,03999	0,285984	2,11446
PGK1	NM_000291	0,305317	-2,13157	0,993301	1,00593	0,301889	2,1442
MOP-1	AB014771	0,332537	-2,31601	0,87028	-1,14547	0,411011	2,02189
LCE2D	NM_178430	0,51341	-2,00833	0,727363	1,44327	0,330033	2,89856
